Event	ID	Name			Wwise Object Path	Notes
	731342154	Play_Plate_Lift			\Level1\Play_Plate_Lift	
	797967755	Play_Cube_drop			\Level1\Play_Cube_drop	
	977134866	Play_Camera_zoomIn			\Level1\Play_Camera_zoomIn	
	1467814842	Play_jiqiren			\Level1\Play_jiqiren	
	1962302600	Play_hover			\Level1\Play_hover	
	2892692845	Play_Camera_zoomOut			\Level1\Play_Camera_zoomOut	
	2914979601	Play_Coin_add			\Level1\Play_Coin_add	
	3551052341	Play_Plate_Down			\Level1\Play_Plate_Down	
	3981976879	Play_Coin_takeAway			\Level1\Play_Coin_takeAway	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1852256	Level 1 Music_LOOP	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Level 1 Music_LOOP_0762CC47.wem		\Interactive Music Hierarchy\Music\Level 1 Music\Level 1 Music\Level 1 Music_LOOP\Level 1 Music_LOOP		1463589
	66674890	Coin_add	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\放上金币_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Coin_add		31816
	110487141	jiqiren	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\jiqiren_0762CC47.wem		\Interactive Music Hierarchy\Music\Level 1 Music\Level 1 Music\jiqiren\jiqiren		250859
	232274638	Plate_Down	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\台阶下降_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Plate_Down		23022
	286706430	Camera_zoomIn	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Camera_zoomIn_0B2CBDD5.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Camera_zoomIn		11273
	364095599	Coin_takeAway	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\拿走_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Coin_takeAway		11478
	489948701	Level 1 Music_Start	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Level 1 Music_Start_0762CC47.wem		\Interactive Music Hierarchy\Music\Level 1 Music\Level 1 Music\Level 1 Music_Start\Level 1 Music_Start		507073
	649493178	hover	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\hover_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\hover		2503
	739887170	Camera_zoomOut	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Camera_zoomOut_FE7275A1.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Camera_zoomOut		17842
	793816760	Plate_Lift	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\台阶上升_63626198.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Plate_Lift		27705
	1010870477	Cube_drop	G:\Unity Project\IndieGameProject-Rubiks-Cube\PocketCubeGamePlay\PCGP_WwiseProject\.cache\Windows\SFX\Cube_drop_3F75BDB9.wem		\Actor-Mixer Hierarchy\Level 1\SFX_Single\Cube_drop		138772

